ZIP Code,Total Population,Poverty Count,Median Household Income,SNAP Households,White Population,Black Population,American Indian Population,Asian Population,Pacific Islander Population,Other Race Population,Two or More Races Population,High School Graduate,Bachelor's Degree,Master's Degree,Doctorate Degree
92056,53265,2485,102570.0,1464,30826,1669,653,4532,487,4214,10884,6040,9245,4154,608
92057,57994,4224,106421.0,1329,29298,3125,452,5091,118,5703,14207,6762,8079,3498,523
92058,49189,3641,72479.0,862,24308,3424,730,2682,184,5725,12136,4899,4330,1621,132
92059,1449,207,96399.0,4,401,7,462,41,0,53,485,168,36,80,0
92060,591,65,150758.0,0,481,0,3,0,0,39,68,155,25,2,0
92061,1693,157,92500.0,9,1189,2,286,40,0,9,167,236,526,43,0
92064,48555,2503,144201.0,894,30345,1356,329,6515,218,3304,6488,3920,10778,5359,908
92065,37397,2069,120550.0,893,26834,370,360,659,75,2359,6740,5898,5612,1536,226
92066,314,65,43542.0,48,305,9,0,0,0,0,0,83,32,25,0
92067,8245,257,238397.0,0,5255,81,0,815,0,86,2008,492,2661,1031,285
92069,46825,5493,93065.0,1358,22654,749,637,5213,14,8015,9543,6048,7363,2405,580
92070,749,96,83750.0,13,439,2,154,5,0,9,140,146,194,20,0
92071,59739,4964,105603.0,1797,41888,1426,405,3333,115,2843,9729,7806,9749,3186,330
92075,11996,705,146210.0,31,9695,93,43,615,6,348,1196,774,3967,1399,364
92078,53542,4387,114905.0,1001,33161,701,210,5573,69,4687,9141,3934,11018,4531,552
92081,29596,2482,102663.0,369,18882,1235,132,2269,108,918,6052,3366,5152,1919,356
92082,20596,1830,118602.0,271,12523,385,875,604,13,1411,4785,2269,3074,1021,163
92083,37957,4184,82614.0,1103,15746,912,706,1526,461,6108,12498,5193,3145,1167,178
92084,49533,4635,97410.0,1105,25995,1094,695,1915,545,6495,12794,7046,6070,1939,235
92086,1410,248,68224.0,78,874,7,69,140,0,77,243,220,208,198,5
92091,1215,131,86705.0,0,955,0,0,140,0,23,97,63,402,151,115
92092,985,0,,0,464,30,0,187,0,144,160,0,65,43,0
92093,4090,0,,0,1832,134,36,1128,0,403,557,0,142,83,50
92096,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92101,48163,7734,90477.0,3326,29737,3791,463,4763,353,3364,5692,3724,14877,5643,1497
92102,39001,5960,71319.0,2045,16968,3611,679,2392,53,8810,6488,5135,5169,1859,430
92103,34817,3155,96887.0,1350,25169,858,179,2526,61,2515,3509,2337,10447,5189,1512
92104,46912,4627,92862.0,1800,28213,3405,263,2798,26,3649,8558,3139,13219,4905,1322
92105,71284,15380,65174.0,5285,17406,9511,1070,13277,405,13380,16235,10419,6878,2315,443
92106,20863,1740,127209.0,385,15943,438,208,958,1,1325,1990,1505,4119,2831,642
92107,29789,2332,107262.0,828,23132,554,157,950,23,1288,3685,2307,8714,3209,1036
92108,24401,2699,101704.0,543,14015,1525,133,3112,90,1599,3927,1536,6910,2989,488
92109,44456,3822,118300.0,832,34881,867,77,1694,137,2024,4776,2452,16887,5687,1499
92110,31186,4333,102508.0,981,20299,1530,350,2337,177,1621,4872,2763,7163,2893,599
92111,45888,4474,95081.0,1613,24431,2062,169,9224,115,3004,6883,5219,7699,4771,979
92113,49047,10466,59177.0,3122,17332,5014,1246,1759,77,15734,7885,8656,2327,807,69
92114,64820,7591,90171.0,3003,14040,11289,255,15593,1106,11314,11223,11522,6561,2152,175
92115,64011,12018,75178.0,2917,31792,6403,509,8346,520,6694,9747,5048,8617,4077,595
92116,31484,2893,95775.0,1146,19742,1440,311,2086,35,2375,5495,2199,9191,4331,958
92117,52645,5467,105286.0,1647,34013,1080,158,4746,267,3368,9013,4201,12485,5127,1222
92118,18495,786,135056.0,149,14632,405,113,706,172,357,2110,1068,4426,2465,525
92119,24868,1458,115600.0,443,16713,921,128,2134,59,1371,3542,2147,6117,2664,399
92120,31797,2994,114579.0,548,21365,2013,35,2506,73,1946,3859,2188,7958,2860,629
92121,4157,697,135795.0,109,2120,83,55,1074,7,89,729,199,920,554,377
92122,45437,9372,98825.0,779,24997,501,226,12754,144,1457,5358,2134,10518,6182,3502
92123,32999,2620,121856.0,947,16272,2227,298,7266,690,1486,4760,2993,7111,2772,791
92124,31032,1696,108219.0,375,20293,2044,120,3370,50,1334,3821,2335,6657,3424,670
92126,77239,6010,123232.0,1557,22381,2558,122,38016,276,5232,8654,6655,15795,8472,2012
92127,50711,1700,179220.0,562,25539,1031,340,16372,11,911,6507,1846,12955,7211,1981
92128,48492,2620,128150.0,414,27358,1217,58,13180,143,1252,5284,2863,12941,7953,1667
92129,53080,2673,152626.0,1078,26241,841,100,18336,112,1877,5573,3065,12283,7685,2369
92130,59768,2784,201731.0,692,31542,199,271,20009,82,1603,6062,1851,14485,9449,5139
92131,35831,1042,181281.0,261,18985,508,19,10842,23,1105,4349,1998,9140,5480,1637
92132,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92134,295,0,,0,119,130,8,0,0,27,11,20,4,34,0
92135,1013,0,,0,458,118,34,92,44,139,128,16,22,0,0
92136,8774,0,,16,4492,1621,126,1060,26,719,730,794,958,252,7
92139,34780,2549,92381.0,1235,7734,3701,255,9974,635,4660,7821,5761,4479,1211,131
92140,2490,0,,0,1542,221,33,141,0,301,252,125,32,0,0
92145,2583,0,,0,1410,376,48,101,7,321,320,122,56,0,0
92147,172,0,,0,106,23,0,0,0,31,12,9,9,0,0
92154,82832,8848,90035.0,3260,27060,4675,1090,10154,362,14878,24613,12931,8274,2161,300
92155,141,0,,0,65,22,0,0,9,30,15,26,0,0,0
92161,24,0,,0,24,0,0,0,0,0,0,0,0,0,12
92173,26507,3611,65865.0,1731,7296,438,338,659,162,7073,10541,3723,1515,485,11
92179,3034,0,,0,1341,921,78,69,18,342,265,530,95,5,0
92182,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92201,66364,8632,66663.0,4882,21365,2525,950,1847,134,13785,25758,11693,4232,2118,254
92203,33381,2757,97969.0,749,17075,692,104,967,10,4938,9595,4381,4791,2373,357
92210,4830,189,145313.0,135,4197,157,0,155,8,90,223,452,1323,866,123
92211,27375,2342,87682.0,695,21031,738,332,1052,14,1259,2949,3620,6062,2572,473
92220,33428,6045,59116.0,1725,14965,2107,1280,1704,6,6414,6952,6088,2540,1168,84
92222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92223,62797,6154,100462.0,2174,31657,5318,764,4412,79,10519,10048,8514,6427,3334,428
92225,21101,3151,51294.0,1310,7293,2348,333,508,53,7722,2844,3043,833,364,82
92227,28147,5783,60593.0,2334,10942,277,525,364,3,9023,7013,3668,1811,387,61
92230,2105,313,90068.0,228,1130,6,0,18,29,683,239,492,158,21,0
92231,38547,8061,50114.0,3837,10711,64,315,567,6,16425,10459,3612,3895,712,15
92233,6837,881,53282.0,407,2025,684,65,145,7,2399,1512,1121,121,38,36
92234,52047,7938,67031.0,2620,21868,1002,1253,3245,123,10374,14182,9205,5868,2308,355
92236,42884,4489,67235.0,3629,4385,111,266,59,34,17773,20256,8662,1120,267,36
92239,167,50,72857.0,7,93,12,0,3,0,43,16,74,14,8,0
92240,40918,7716,51284.0,3370,14851,3240,882,858,209,9677,11201,7228,2493,832,148
92241,8624,1549,45210.0,695,5346,71,93,146,0,1567,1401,1935,678,258,86
92242,1203,212,37679.0,53,1047,0,25,0,0,25,106,351,81,30,0
92243,48556,9625,55890.0,3363,12230,1966,452,549,10,21757,11592,6607,3014,1351,75
92249,7308,1316,75664.0,310,1919,126,136,24,0,2540,2563,1129,914,84,8
92250,7854,1119,70250.0,472,2555,72,45,53,0,3626,1503,1229,524,153,24
92251,27197,3173,83709.0,1042,9043,885,186,840,5,8030,8208,3635,1928,590,208
92252,7916,1682,62821.0,558,5838,207,98,136,36,364,1237,927,967,402,50
92253,38281,3484,97397.0,1051,23316,475,459,1669,57,5215,7090,5608,7244,2666,352
92254,10779,1750,43464.0,1045,688,0,273,0,0,4830,4988,1166,193,0,0
92256,3907,891,56821.0,244,2758,123,96,35,16,427,452,607,333,95,37
92257,2185,654,17663.0,275,773,264,11,136,0,509,492,362,46,4,0
92258,508,158,32067.0,47,160,17,51,3,0,124,153,76,16,0,0
92259,237,76,,25,169,0,0,0,0,47,21,24,19,0,0
92260,30751,4058,72252.0,1636,20279,557,101,1148,96,2535,6035,4202,5996,2231,291
92262,26064,4075,70514.0,1205,17032,2503,161,837,52,2156,3323,3353,5204,2299,428
92264,20250,1969,75246.0,753,14895,455,250,1211,56,908,2475,2466,4860,2664,395
92266,152,18,20870.0,0,140,0,0,0,0,12,0,44,23,0,0
92267,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92268,315,108,,0,315,0,0,0,0,0,0,93,18,12,0
92270,17375,1876,109943.0,457,13910,293,116,629,35,1278,1114,2474,3559,2042,612
92273,1551,381,55167.0,141,558,100,0,0,0,366,527,197,41,19,0
92274,17909,4085,36087.0,1656,2815,106,173,66,0,5913,8836,2666,514,79,0
92275,1410,318,35658.0,105,602,0,21,0,0,382,405,389,16,0,0
92276,7662,799,80280.0,475,2957,13,345,47,0,1018,3282,1590,801,307,32
92277,27742,4596,55515.0,1621,15528,2536,367,1175,401,1041,6694,3492,2785,994,70
92278,3839,0,,0,2104,405,43,172,8,53,1054,98,9,5,0
92280,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92281,1904,828,35882.0,216,723,22,56,0,0,589,514,243,74,21,0
92282,1494,290,69271.0,130,662,74,80,31,0,206,441,225,98,83,13
92283,1795,676,38359.0,253,527,0,1007,6,0,39,216,361,114,20,0
92284,25782,5244,52886.0,1639,17929,755,517,511,337,1026,4707,4539,2485,876,202
92285,2914,505,44038.0,305,2025,119,114,54,15,145,442,361,167,86,21
92301,38651,6016,68205.0,3295,10039,6223,565,660,95,7998,13071,6319,1198,406,61
92304,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92305,371,12,114453.0,4,323,0,0,7,0,17,24,6,84,48,0
92307,40666,5690,74715.0,2509,24109,2126,611,1464,35,3203,9118,5958,3218,1781,224
92308,42402,8007,63484.0,2533,24368,3927,153,1389,163,4254,8148,7605,2665,1535,136
92309,490,106,,37,268,0,4,14,0,52,152,141,0,0,4
92310,8791,863,66964.0,37,5735,1022,38,188,153,147,1508,642,936,210,20
92311,33982,7187,59338.0,3194,14944,5190,988,667,424,4418,7351,6207,1549,747,15
92313,13069,917,83668.0,445,6263,655,110,577,198,3319,1947,1943,1595,845,109
92314,10410,1304,79191.0,449,8286,1,214,48,57,449,1355,1699,1262,441,82
92315,5215,471,79293.0,153,3907,32,28,125,0,161,962,953,857,382,35
92316,31909,4253,82117.0,1317,8781,1069,653,241,0,13503,7662,5789,1451,485,17
92317,708,0,50625.0,0,633,24,0,0,0,0,51,100,174,86,28
92320,10680,717,90313.0,267,6728,326,150,363,0,1854,1259,1653,1716,472,23
92321,828,204,50893.0,28,676,0,0,0,0,8,144,124,67,81,7
92322,605,54,,0,327,0,0,24,0,0,254,27,105,27,0
92324,57049,8469,69419.0,2701,16380,4661,761,2205,506,18803,13733,10416,3964,1876,163
92325,9689,1193,79254.0,337,7061,223,16,27,0,436,1926,1469,1283,476,45
92327,706,366,,147,396,156,0,0,0,0,154,150,15,26,0
92328,872,166,91198.0,0,724,0,22,7,0,3,116,144,217,139,0
92332,106,12,,22,47,0,0,12,0,47,0,28,0,27,0
92333,403,18,78333.0,0,365,0,0,0,0,2,36,21,92,27,13
92335,95295,15610,75198.0,5173,16407,3528,1576,2288,165,59045,12286,17949,4836,678,9
92336,103393,7647,121989.0,2785,27635,11592,1020,12382,238,32950,17576,15258,12675,5109,496
92337,36944,2590,104936.0,1122,6816,3170,430,3203,16,16131,7178,6822,3209,468,73
92338,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
92339,1277,114,86492.0,63,942,11,0,0,0,55,269,133,166,63,0
92341,299,21,67188.0,18,180,0,0,59,0,22,38,81,23,43,12
92342,6677,436,110586.0,113,3994,282,0,336,241,336,1488,895,601,301,84
92344,20671,1999,99909.0,624,10227,885,143,1035,69,4534,3778,3383,1749,602,37
92345,87906,16128,65949.0,5340,48186,3966,1130,1191,180,16866,16387,16928,3920,1877,120
92346,56956,6994,84818.0,2581,22714,5026,766,4888,49,15529,7984,9927,5503,2816,517
92347,630,233,45733.0,62,532,9,0,0,0,0,89,185,34,0,0
92350,394,24,,0,141,34,0,135,0,21,63,0,130,6,10
92352,6496,648,106575.0,160,4881,39,65,139,0,337,1035,820,1091,511,194
92354,23076,2938,86063.0,736,8488,2265,331,6535,37,2653,2767,3173,4294,2050,844
92356,6665,2403,46625.0,718,3961,195,142,216,0,1032,1119,1189,456,124,73
92358,712,34,92772.0,21,625,0,28,25,0,0,34,93,63,22,17
92359,9394,965,74408.0,394,5356,521,0,382,76,1093,1966,1692,1216,323,13
92363,5392,1518,40226.0,802,3614,159,611,39,3,129,837,1125,282,67,0
92364,15,8,,0,15,0,0,0,0,0,0,8,0,0,0
